sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
juvederm-voluma-with-lidocaine-1ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"DUCRAY KERACNYL CREAM 30ML",,,,0,,,N/A,,"DUCRAY KERACNYL CREAM 30ML","DUCRAY KERACNYL CREAM 30ML","DUCRAY KERACNYL CREAM 30ML",,,"Use config","Use config","DUCRAY KERACNYL CREAM 30ML",,,"Product Info Column",,1350000.0000,0,"DUCRAY KERACNYL CREAM 30ML",,,,,,1,0,,,"2016-04-24 16:34:01",juvederm-voluma-with-lidocaine-1ml,juvederm-voluma-with-lidocaine-1ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,1350000.0000,,,,,
juvederm-ultra-xc-1ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Chỉ Định:,
Điều trị Các chứng viêm đau, lở niêm mạc miệng, lợi và môi, kể cả trong trường hợp có mụn nước, viêm lợi và nứt nẻ môi do trời lạnh. Giảm đau trong nha khoa, ngăn ngừa các triệu chứng khi mọc răng sữa hay răng khôn & dùng trong phẫu thuật chỉnh răng",,,,0,,,N/A,,"Điều trị Các chứng viêm đau, lở niêm mạc miệng, lợi và môi, kể cả trong trường hợp có mụn nước, viêm lợi và nứt nẻ môi do trời lạnh","Kem Orrepaste","Kem Orrepaste",,33000.0000,"Use config","Use config","Kem Orrepaste",,,"Product Info Column",,11200000.0000,0,"Điều trị Các chứng viêm đau, lở niêm mạc miệng, lợi và môi, kể cả trong trường hợp có mụn nước, viêm lợi và nứt nẻ môi do trời lạnh.",,,,,,1,0,,,"2016-04-24 16:34:01",juvederm-ultra-xc-1ml,juvederm-ultra-xc-1ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,11200000.0000,,,,,
cot-thoai-vuong,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Cốt Thoái Vương giúp: Hỗ trợ điều trị thoái hóa cột sống, thoát vị đĩa đệm.",,,,0,,,N/A,,"Cốt Thoái Vương giúp: Hỗ trợ điều trị thoái hóa cột sống","CỐT THOÁI VƯƠNG","CỐT THOÁI VƯƠNG",,160000.0000,"Use config","Use config","CỐT THOÁI VƯƠNG",,,"Product Info Column",,9800000.0000,0,"Cốt Thoái Vương giúp: Hỗ trợ điều trị thoái hóa cột sống, thoát vị đĩa đệm. Hỗ trợ phòng ngừa thoái hóa đốt sống, gai đốt sống và thoát vị đĩa đệm. Hỗ trợ giảm đau xương khớp, làm chậm quá trình thoái hóa khớp. Dùng cho người bị thoái hóa đốt sống, gai đốt sống và thoát vị đĩa đệm, nhất là người cao tuổi",,,,,,1,0,,,"2016-04-24 16:34:01",cot-thoai-vuong,cot-thoai-vuong.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,9800000.0000,,,,,
ich-xuan-bao-nguyen,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc tiêm gel Juvederm Voluma with Lidocaine 1ml với Acid hyaluronic dạng gel 20mg, Lidocaine hydrochloride 3mg, Dung dịch đệm phosphate pH 7,2 vừa đủ 1ml, 1 ống tiêm chứa 1ml",,,,0,,,Allergan,,"Thuốc tiêm gel Juvederm Voluma with Lidocaine 1ml với Acid hyaluronic dạng gel 20mg, Lidocaine hydrochloride 3mg, Dung dịch đệm phosphate pH 7,2 vừa đủ 1ml, 1 ống tiêm chứa 1ml","JUVEDERM VOLUMA WITH LIDOCAINE 1ML","JUVEDERM VOLUMA WITH LIDOCAINE 1ML",,11200000.0000,"Use config","Use config","JUVEDERM VOLUMA WITH LIDOCAINE 1ML",,,"Product Info Column",,11200000.0000,0,"Thuốc tiêm gel Juvederm Voluma with Lidocaine 1ml với Acid hyaluronic dạng gel 20mg, Lidocaine hydrochloride 3mg, Dung dịch đệm phosphate pH 7,2 vừa đủ 1ml, 1 ống tiêm chứa 1ml",,,,,,1,0,,,"2016-04-24 16:34:01",ich-xuan-bao-nguyen,ich-xuan-bao-nguyen.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,11200000.0000,,,,,
juvederm-ultra-plus-xc-1ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc tiêm gel JUVEDERM ULTRA XC 1ML Acid hyaluronic",,,,0,,,Allergan,,"Thuốc tiêm gel JUVEDERM ULTRA XC 1ML Acid hyaluronic dạng gel 24mg","JUVEDERM ULTRA XC 1ML","JUVEDERM ULTRA XC 1ML",,11200000.0000,"Use config","Use config","JUVEDERM ULTRA XC 1ML",,,"Product Info Column",,810000.0000,0,"Thuốc tiêm gel JUVEDERM ULTRA XC 1ML Acid hyaluronic dạng gel 24mg, Lidocaine hydrochloride 3mg, Dung dịch đệm phosphate pH 7,2 vừa đủ 1ml, 1 ống tiêm chứa 0,8ml Juvederm Ultra XC",,,,,,1,0,,,"2016-04-24 16:34:01",juvederm-ultra-plus-xc-1ml,juvederm-ultra-plus-xc-1ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,810000.0000,,,,,
ducray-neoptide-lotion-3x30ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc giảm cân  VIPLENA 120MG",,,,0,,,N/A,,"Thuốc giảm cân"," VIPLENA 120MG"," VIPLENA 120MG",,290000.0000,"Use config","Use config"," VIPLENA 120MG",,,"Product Info Column",,1550000.0000,0,"Thuốc giảm cân",,,,,,1,0,,,"2016-04-24 16:34:01",ducray-neoptide-lotion-3x30ml,ducray-neoptide-lotion-3x30ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,1550000.0000,,,,,
ducray-keracnyl-cream-30ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc Dogarlic 300 mg ",,,,0,,,N/A,,"Thuốc Dogarlic 300 mg ","Thuốc Dogarlic 300 mg ","Thuốc Dogarlic 300 mg ",,35000.0000,"Use config","Use config","Thuốc Dogarlic 300 mg ",,,"Product Info Column",,144000.0000,0,"Thuốc Dogarlic 300 mg ",,,,,,1,0,,,"2016-04-24 16:34:01",ducray-keracnyl-cream-30ml,ducray-keracnyl-cream-30ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,144000.0000,,,,,
ducray-125ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Lumigan sử dụng để giảm IOP ở người có bệnh tăng nhãn áp góc hẹp hoặc tăng huyết áp ở mắt. Lumigan cũng được sử dụng để tăng độ dày, độ dài, và bóng tối của lông mi.",,,,0,,,Allergan,,"Lumigan sử dụng để giảm IOP ở người có bệnh tăng nhãn áp góc hẹp hoặc tăng huyết áp ở mắt. Lumigan cũng được sử dụng để tăng độ dày, độ dài, và bóng tối của lông mi.",Lumigan,Lumigan,,450000.0000,"Use config","Use config",Lumigan,,,"Product Info Column",,144000.0000,0,"Lumigan sử dụng để giảm IOP ở người có bệnh tăng nhãn áp góc hẹp hoặc tăng huyết áp ở mắt. Lumigan cũng được sử dụng để tăng độ dày, độ dài, và bóng tối của lông mi.",,,,,,1,0,,,"2016-04-24 16:34:01",ducray-125ml,ducray-125ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,144000.0000,,,,,
"ducray neoptide lotion 3x30ml",,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"NEOPTIDE tác động trực tiếp trên các nang tóc kích thích giai đoạn Anagen (giai đoạn phát triển của tóc). Sự kết hợp của các axit amin, thúc đẩy sự tăng sinh của các tế bào của bóng tóc và đáng kể kéo dài giai đoạn tăng trưởng tóc.",,,,0,,,N/A,,"NEOPTIDE tác động trực tiếp trên các nang tóc kích thích giai đoạn Anagen (giai đoạn phát triển của tóc). Sự kết hợp của các axit amin, thúc đẩy sự tăng sinh của các tế bào của bóng tóc và đáng kể kéo dài giai đoạn tăng trưởng tóc.","DUCRAY NEOPTIDE LOTION 3x30ML","DUCRAY NEOPTIDE LOTION 3x30ML",,1400000.0000,"Use config","Use config","DUCRAY NEOPTIDE LOTION 3x30ML",,,"Product Info Column",,160000.0000,0,"NEOPTIDE tác động trực tiếp trên các nang tóc kích thích giai đoạn Anagen (giai đoạn phát triển của tóc). Sự kết hợp của các axit amin, thúc đẩy sự tăng sinh của các tế bào của bóng tóc và đáng kể kéo dài giai đoạn tăng trưởng tóc.",,,,,,1,0,,,"2016-04-24 16:34:01",ducray-neoptide-lotion-3x30ml,ducray-neoptide-lotion-3x30ml-53.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,160000.0000,,,,,
ngua-thai-nicpostinew,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Thuốc ngừa thai NicPostinew ",,,,0,,,N/A,,"Thuốc ngừa thai NicPostinew ","Thuốc ngừa thai NicPostinew ","Thuốc ngừa thai NicPostinew ",,20000.0000,"Use config","Use config","Thuốc ngừa thai NicPostinew ",,,"Product Info Column",,33000.0000,0,"Thuốc ngừa thai NicPostinew ",,,,,,1,0,,,"2016-04-24 16:34:01",ngua-thai-nicpostinew,ngua-thai-nicpostinew.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,33000.0000,,,,,
big-1,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"XENICAL 120MG",,,,0,,,N/A,,"XENICAL 120MG","XENICAL 120MG","XENICAL 120MG",,1350000.0000,"Use config","Use config","XENICAL 120MG",,,"Product Info Column",,56000.0000,0,"XENICAL 120MG",,,,,,1,0,,,"2016-04-24 16:34:01",big-1,big-1.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,56000.0000,,,,,
asthalin-inhaler,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"BIG 1",,,,0,,,N/A,,"BIG 1","BIG 1","BIG 1",,1350000.0000,"Use config","Use config","BIG 1",,,"Product Info Column",,75000.0000,0,"BIG 1",,,,,,1,0,,,"2016-04-24 16:34:01",asthalin-inhaler,asthalin-inhaler.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,75000.0000,,,,,
aknicare-cleanser-200ml,,Thuoc,simple,"Làm đẹp","Default Category",base,,,,"2016-04-24 13:59:32",,,,,"Sản phẩm Mercilon",,,,0,,,N/A,,"Mercilon ","Mercilon ","Mercilon ",,75000.0000,"Use config","Use config","Mercilon ",,,"Product Info Column",,450000.0000,0,"Mercilon ",,,,,,1,0,,,"2016-04-24 16:34:01",aknicare-cleanser-200ml,aknicare-cleanser-200ml.html,4,1.0000,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,all,2,450000.0000,,,,,
